LocationCode,LocationName,Traps,TrapNights,,Visit1,Visit2,Visit3,Visit4,Visit5,Visit6,Visit7,Visit8,Visit9,Visit10,Visit11,Visit12,Visit13,Visit14,Visit15,Visit16,Visit17,Visit18
79,"L11, Knoll West of Area 6 Heavy Equipment Yard",30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"L11, Knolls Southwest of Yucca Playa",30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"M9, North of Camera Station Butte",30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"M9, Scarp Canyon, east of SC51 Radsafe",30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"H11, Shoshone Mountain East",30,180,,0,0,0,0,0,0,*,0,0,*,0,1,NA,NA,NA,NA,NA,NA
84,"H11, Shoshone Mountain, Topopah Pass",30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"G11, Topopah Spring Area",30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"G11, South of Topopah Spring",30,180,,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"I5, East Rainier Mesa",30,180,,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"I5, Rainier Mesa, 12T14 Radsafe",30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"I6, Holmes Road",30,360,,0,0,0,0,0,0,0,*,0,*,1,0,NA,NA,NA,NA,NA,NA
90,"I6, East of G Tunnel",30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"D3, 20-1 Road, 20J46 Radsafe",30,180,,0,0,0,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"D3, S-13 Road, Near 20LF Road Radsafe",30,180,,0,0,0,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"C3, Canyon Northwest of Trail Ridge",30,180,,0,0,0,0,*,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,"Rainier Mesa, 12A24",17,204,,0,0,*,0,*,0,*,0,*,0,*,0,NA,NA,NA,NA,NA,NA
95,"E5, Valley South of 20-2 Sump",30,180,,0,0,0,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"E5, Pahute Mesa, North of 20-2 Sump",30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"E4, Columbine Canyon",30,270,,0,0,0,0,*,0,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,"E4, Pahute Mesa, Valley west of Columbine Canyon",30,180,,0,0,0,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"I15, Skull Mountain North",30,180,,0,0,0,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"I15, Skull Mountain South",30,180,,0,0,0,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Trail Ridge South,29-30,89,,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,"J13, Mid Valley Road, MV-47",30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,"I12, Mid Valley Road, MV-34",30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,"I10, Mid Valley, North of HEST facility",30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,"J8, North of Area 1 Shaker Plant",30,180,,0,0,0,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"L7, 901 Road east, 9B-39",30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,"L7, South Banded Mountain",30,180,,0,0,0,*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"M6, Rounded Ridge",30,180,,0,*,0,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,"L6, South Rhyolite Hills (Gate 700)",30,180,,*,0,0,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,"L5, Tub Spring Area",30,180,,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"L5, East of Tub Spring, Rhyolite Hills",30,180,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"K4, Oak, John, and Carrie Spring",30,180,,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,"E6, Microhabitat on 18-5 Road",15,60,,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"E7, 18-5 Road Wash",30,180,,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,"F6, Slope of Blacktop Buttes",30,360,,0,*,0,0,*,0,*,*,0,*,1,1,NA,NA,NA,NA,NA,NA
116,"D5, Pahute Mesa 20a-122, near 20-4C Barricade",30,240,,0,0,*,0,*,1,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,"D5, Pahute Mesa near 20-5 Sump",11,330,,0,0,*,0,*,*,1,*,1,*,0,NA,NA,NA,NA,NA,NA,NA
118,"I6, Rainier Spring Wash, E Tunnel Road",29-30,209,,0,0,*,0,*,*,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
